name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Tom Milsch;tommilsch;None;None;BVDK;14.08.2021;None;M;27;220;140;275
Florian Schnurpfeil;florianschnurpfeil;None;None;BVDK;19.09.2021;None;M;22;250;170;292.5
Dominik Fey;dominikfey;None;BW;BVDK;18.12.2021;Deutschland;M;29;222.5;125;290
Andreas Hock;andreashock;None;None;GPU;02.05.2022;Deutschland;M;29;210;135;272.5
Felix Wagner;felixwagner;felix.wgnr98;BW;BVDK;22.09.2019;Deutschland;M;21;242.5;162.5;272.5
Olaf Brandl;olafbrandl;None;NRW;BVDK;09.09.2017;Deutschland;M;46;220;210;250
Paul Matulewicz;paulmatulewicz;None;None;Germany-UA;01.12.2009;None;M;;265;185;290
Juliane Bosse;julianebosse;deadliftprinzessin;SN;BVDK;10.10.2020;None;W;26;175;95;187.5
Michael Schmidt;michaelschmidt;None;None;GPC;18.10.2021;Deutschland;M;51;210;145;240
Marco Paulsen;marcopaulsen;None;NI;BVDK;16.11.2019;None;M;24;240;157.5;280
Alina Rudolph;alinarudolph;None;None;BVDK;19.09.2021;None;W;19;142;60;142.5
Johannes Reuter;johannesreuter;None;None;BVDK;19.09.2021;Deutschland;M;23;260;147.5;307.5
Nikita Galenko;nikitagalenko;None;None;WUAP-Germany;06.05.2022;Deutschland;M;22;300;185;290
Eduard Eida;eduardeida;None;None;EPF;29.11.2019;Deutschland;M;18;207.5;155;230
Timm Schinabeck;timmschinabeck;None;None;BVDK;21.08.2022;None;M;;265;175;265
Dennis Pusikow;dennispusikow;None;None;UPC-Germany;27.03.2015;None;M;22;260;167.5;265
Sercan Kuzu;sercankuzu;None;None;GPU;01.02.2020;Deutschland;M;30;220;180;325
Sandra Emonts;sandraemonts;None;BY;BVDK;30.09.2017;Deutschland;W;29;135;80;175
Fabian Gaebel;fabiangaebel;None;NRW;BVDK;01.06.2019;None;M;27;245;162.5;295
Viktor Beilmann;viktorbeilmann;None;HH;Germany-UA;01.09.2017;Deutschland;M;20;210;132.5;257.5
Friedrich Mockenhaupt;friedrichmockenhaupt;None;HE;Germany-UA;15.12.2018;None;M;29;250;180;300
Alexander Lex;alexanderlex;gyumao_;None;BVDK;21.08.2022;None;M;27;265;170;275
Philipp Schweda;philippschweda;None;None;BVDK;12.10.2017;Deutschland;M;25;262.5;152.5;260
Lolita Zankl;lolitazankl;None;None;WPC;11.06.2019;Deutschland;W;60;115;120;180
Daniel Untermayer;danieluntermayer;None;HE;BVDK;20.05.2022;Deutschland;M;25;212.5;120;255
Yosef Aziz;yosefaziz;None;HH;Germany-UA;01.09.2017;Deutschland;M;18;170;112.5;220
Marko Piyadeth Krause;markopiyadethkrause;None;None;BVDK;29.03.2019;Deutschland;M;30;235;180;250
Anna Cirmon;annacirmon;_anna_bol_;None;BVDK;21.08.2022;None;W;26;142.5;75;167.5
